"STUB_1","STUB_2","1/5/18","12/29/17","1/6/17","1/8/16","1/5/18","1/6/17"
"Crude Oil Production ","Domestic Production","9,492","9,782","8,946","9,227","9,704","8,817"
"Crude Oil Production ","Alaska","513","510","515","521","512","521"
"Crude Oil Production ","Lower 48","8,979","9,272","8,431","8,706","9,192","8,296"
"Refiner Inputs and Utilization ","Crude Oil Inputs","17,323","17,608","17,107","16,423","17,348","16,753"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,046","1,117","1,033","1,146","1,104","1,046"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,780","3,840","3,708","3,708","3,784","3,723"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,315","9,472","9,264","8,562","9,308","9,061"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","616","631","620","615","598","601"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,565","2,548","2,481","2,392","2,555","2,322"
"Refiner Inputs and Utilization ","Gross Inputs","17,629","17,883","17,296","16,530","17,658","16,989"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,053","1,120","1,026","1,137","1,107","1,046"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,778","3,842","3,709","3,711","3,785","3,733"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,441","9,568","9,278","8,545","9,442","9,139"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","610","628","625","613","599","603"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,748","2,725","2,659","2,524","2,725","2,469"
"Refiner Inputs and Utilization ","Operable Capacity","18,505","18,503","18,474","18,125","18,504","18,463"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,182","1,182","1,278","1,273","1,182","1,278"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,013","4,011","3,957","3,878","4,012","3,957"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,769","9,769","9,620","9,391","9,769","9,609"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","693","693","696","651","693","696"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,848","2,848","2,924","2,933","2,848","2,924"
"Refiner Inputs and Utilization ","Percent Utilization","95.3","96.7","93.6","91.2","95.4","92.0"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","89.1","94.7","80.3","89.3","93.6","81.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.1","95.8","93.7","95.7","94.4","94.3"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","96.6","97.9","96.4","91.0","96.7","95.1"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","88.0","90.6","89.7","94.1","86.4","86.6"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","96.5","95.7","90.9","86.0","95.7","84.4"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","-757","-455","-514","-691","-157","-21"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,870","1,964","1,950","1,898","2,096","2,202"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","16","10","-24","-176","88","118"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,500","-2,274","-2,261","-2,266","-2,245","-2,298"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-81","-94","-49","-51","-78","-54"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-63","-61","-130","-96","-18","11"
"Refiner and Blender Net Inputs ","RBOB","96","317","139","-101","251","369"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","370","493","446","310","485","565"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-37","11","-16","-60","4","32"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-270","-166","-213","-314","-251","-213"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","33","-20","-79","-38","13","-15"
"Refiner and Blender Net Inputs ","CBOB","-778","-685","-805","-691","-525","-571"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,310","1,431","1,253","1,436","1,430","1,416"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","106","-52","2","-105","85","71"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,038","-1,985","-2,015","-1,961","-1,944","-2,050"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-78","-85","-41","-63","-70","-46"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-78","5","-5","3","-25","38"
"Refiner and Blender Net Inputs ","GTAB","52","26","53","111","37","27"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","52","26","53","111","37","27"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","-127","-113","99","-9","80","154"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","138","14","198","40","144","194"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-53","50","-10","-10","0","14"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-191","-123","-34","9","-50","-35"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-2","-9","-8","12","-8","-8"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-19","-46","-46","-61","-6","-12"
"Refiner and Blender Net Inputs ","Fuel Ethanol","795","855","806","807","877","876"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","281","314","291","292","317","321"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","218","227","222","215","238","239"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","130","137","129","132","141","139"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","26","28","27","28","29","29"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","139","149","136","139","152","148"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,525","9,682","9,666","8,820","9,880","9,955"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,126","9,555","9,227","9,018","9,816","9,789"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,725","2,970","2,830","2,805","3,026","3,106"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,323","2,383","2,386","2,306","2,481","2,522"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,356","2,453","2,318","2,217","2,500","2,338"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","242","269","310","312","270","309"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,480","1,481","1,383","1,378","1,538","1,513"
"Refiner and Blender Net Production ","Adjustment","399","127","439","-198","64","166"
"Refiner and Blender Net Production ","Reformulated","2,750","3,036","2,785","2,863","3,101","3,108"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,024","1,207","1,073","1,135","1,213","1,238"
"Refiner and Blender Net Production ","Midwest (PADD 2)","331","348","329","321","361","362"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","409","429","407","412","448","439"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","986","1,052","976","995","1,078","1,069"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,750","3,036","2,785","2,863","3,101","3,108"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,024","1,207","1,073","1,135","1,213","1,238"
"Refiner and Blender Net Production ","Midwest (PADD 2)","331","348","329","321","361","362"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","409","429","407","412","448","439"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","986","1,052","976","995","1,078","1,069"
"Refiner and Blender Net Production ","Other","0","0","0","0","0","0"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
