"STUB_1","4/10/20","4/3/20","Difference","4/12/19","Percent Change","4/13/18","Percent Change"
"Crude Oil","1,138.590","1,119.340","19.248","1,104.280","3.100","1,093.020","4.200"
"Commercial (Excluding SPR)","503.618","484.370","19.248","455.154","10.600","427.567","17.800"
"East Coast (PADD 1)","11.289","11.971","-0.681","12.448","-9.300","13.476","-16.200"
"Midwest (PADD 2)","147.405","141.755","5.650","135.271","9.000","121.604","21.200"
"Cushing","54.965","49.241","5.724","44.449","23.700","34.907","57.500"
"Gulf Coast (PADD 3)","263.360","253.122","10.237","233.677","12.700","221.970","18.600"
"Rocky Mountain (PADD 4)","24.127","22.844","1.284","23.737","1.600","22.714","6.200"
"West Coast (PADD 5)","57.437","54.679","2.759","50.020","14.800","47.802","20.200"
"Alaska In-Transit","5.023","4.836","0.187","3.817","31.600","1.765","184.600"
"SPR","634.967","634.967","0.000","649.126","-2.200","665.456","-4.600"
"Total Motor Gasoline","262.217","257.303","4.914","227.955","15.000","235.967","11.100"
"Reformulated","0.050","0.042","0.008","0.038","31.600","0.054","-7.400"
"Conventional","22.477","21.480","0.997","20.716","8.500","23.114","-2.800"
"Blending Components","239.690","235.781","3.909","207.200","15.700","212.799","12.600"
"Fuel Ethanol","27.469","27.091","0.377","22.676","21.100","21.344","28.700"
"Kerosene-Type Jet Fuel","40.239","38.861","1.379","42.366","-5.000","39.110","2.900"
"Distillate Fuel Oil","129.004","122.724","6.280","127.691","1.000","125.340","2.900"
"15 ppm sulfur and Under","115.196","110.046","5.150","112.213","2.700","109.972","4.800"
"> 15 ppm to 500 ppm sulfur","4.373","4.119","0.254","3.683","18.700","4.668","-6.300"
"> 500 ppm sulfur","9.436","8.559","0.876","11.795","-20.000","10.700","-11.800"
"Residual Fuel Oil","34.586","35.980","-1.393","29.076","19.000","33.380","3.600"
"Propane/Propylene","56.780","59.027","-2.247","50.554","12.300","33.260","70.700"
"Other Oils ","287.659","288.977","-1.317","274.124","4.900","262.391","9.600"
"Unfinished Oils","95.687","97.732","-2.045","92.746","3.200","93.912","1.900"
"Total Stocks (Including SPR)","1,976.540","1,949.300","27.241","1,878.720","5.200","1,843.820","7.200"
"Total Stocks (Excluding SPR)","1,341.570","1,314.330","27.241","1,229.600","9.100","1,178.360","13.900"
