"STUB_1","STUB_2","6/17/22","6/10/22","6/18/21","6/19/20","6/17/22","6/18/21"
"Crude Oil Production ","Domestic Production","12,000","12,000","11,100","11,000","11,950","11,025"
"Crude Oil Production ","Alaska","404","435","445","362","433","443"
"Crude Oil Production ","Lower 48","11,600","11,600","10,700","10,600","11,550","10,625"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,263","16,320","16,112","13,840","16,251","15,993"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","789","789","707","591","793","713"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,999","3,933","4,037","3,418","3,949","3,940"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,729","8,910","8,585","7,483","8,828","8,591"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","614","578","540","591","524","539"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,132","2,109","2,243","1,757","2,157","2,210"
"Refiner Inputs and Utilization ","Gross Inputs","16,858","16,809","16,678","14,162","16,797","16,497"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","800","804","716","609","805","727"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,963","3,899","4,047","3,435","3,940","3,940"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,180","9,273","8,981","7,689","9,217","8,937"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","613","579","539","591","523","536"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,302","2,254","2,395","1,838","2,312","2,358"
"Refiner Inputs and Utilization ","Operable Capacity","17,944","17,944","18,090","18,976","17,943","18,090"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","818","818","818","1,224","818","818"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,197","4,197","4,188","4,196","4,197","4,188"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,607","9,607","9,713","9,983","9,607","9,713"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","663","663","657","698","662","657"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,659","2,659","2,714","2,875","2,659","2,714"
"Refiner Inputs and Utilization ","Percent Utilization","94.0","93.7","92.2","74.6","93.6","91.2"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","97.8","98.3","87.6","49.8","98.4","89.0"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.4","92.9","96.6","81.9","93.9","94.1"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","95.6","96.5","92.5","77.0","95.9","92.0"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","92.4","87.3","82.1","84.7","78.9","81.6"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","86.5","84.8","88.3","64.0","87.0","86.9"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","686","672","968","957","753","711"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,487","2,523","2,473","2,211","2,510","2,444"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","329","225","256","330","245","218"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,242","-2,217","-1,898","-1,689","-2,158","-2,101"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","6","46","46","-22","54","37"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","105","95","91","128","101","113"
"Refiner and Blender Net Inputs ","RBOB","157","252","139","163","178","180"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","422","541","451","445","453","474"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","60","20","37","56","38","68"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-383","-379","-301","-428","-379","-406"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","57","70","-48","92","67","44"
"Refiner and Blender Net Inputs ","CBOB","248","197","346","482","209","49"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,573","1,635","1,605","1,456","1,567","1,543"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","274","175","171","297","211","156"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,674","-1,683","-1,537","-1,289","-1,648","-1,722"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","20","35","52","-34","50","38"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","55","35","55","52","29","34"
"Refiner and Blender Net Inputs ","GTAB","238","66","112","200","203","160"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","238","66","112","200","203","160"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","43","156","370","113","163","322"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","254","281","304","110","288","267"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-5","29","48","-22","-4","-6"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-185","-155","-60","28","-131","28"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-14","11","-6","13","4","-1"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-7","-10","84","-16","6","35"
"Refiner and Blender Net Inputs ","Fuel Ethanol","903","901","922","831","906","913"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","325","325","329","292","327","328"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","245","244","256","234","246","251"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","151","151","152","141","152","150"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","32","31","32","28","31","31"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","150","150","153","135","151","153"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,354","10,019","10,327","8,794","9,846","9,813"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,588","9,860","10,098","8,943","9,755","9,976"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,198","3,214","3,201","2,856","3,213","3,205"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,514","2,499","2,639","2,469","2,513","2,597"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,058","2,337","2,414","1,974","2,209","2,330"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","350","359","345","302","347","330"
