report_id,week_ending,release_date,knowledge_cutoff,cushing_mbbl,inv_z,state,inv_delta1,inv_delta4,price_date,spread,F2,F3,source_url,sha256,reports_on_release_date,quote_source_url,evidence_id,quote_identity
2019_01_04,2018-12-28,2019-01-04,2019-01-05T04:59:59+00:00,41.932,-1.3803108531729478,Low,0.6410000000000053,3.679000000000002,2019-01-03,-0.37000000000000455,47.4,47.77,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_01_04/csv/table9.csv,a6e43528a28f9dabed876da7349834c29b26df64e577eed6679725a50c3ff718,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-01-04,Public delivery rank; not a fixed-contract return
2019_01_09,2019-01-04,2019-01-09,2019-01-10T04:59:59+00:00,42.262,-1.1535225542196959,Low,0.3299999999999983,2.860999999999997,2019-01-08,-0.38000000000000256,50.11,50.49,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_01_09/csv/table9.csv,b5c632a3444b97c95acd60bbcf5ceb2e39ded7af185e821a5ce09c50f565176f,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-01-09,Public delivery rank; not a fixed-contract return
2019_01_16,2019-01-11,2019-01-16,2019-01-17T04:59:59+00:00,41.519,-1.2170437201516338,Low,-0.7430000000000021,1.027000000000001,2019-01-15,-0.3100000000000023,52.39,52.7,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_01_16/csv/table9.csv,69970c527090e18583475afca747fc13d9e24c5a3f27e30c925bc4e84265cff8,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-01-16,Public delivery rank; not a fixed-contract return
2019_01_24,2019-01-18,2019-01-24,2019-01-25T04:59:59+00:00,41.329,-1.1802779210803829,Low,-0.18999999999999773,0.03800000000000381,2019-01-23,-0.3999999999999986,52.92,53.32,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_01_24/csv/table9.csv,6532a01fe9c73f9e11f1c4a698d11e8aacf8d9341ad6d07744f92dd82874ebc3,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-01-24,Public delivery rank; not a fixed-contract return
2019_01_30,2019-01-25,2019-01-30,2019-01-31T04:59:59+00:00,41.184,-1.1186996537731733,Low,-0.14500000000000313,-0.7480000000000047,2019-01-29,-0.3299999999999983,53.6,53.93,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_01_30/csv/table9.csv,9296aeca0533f3da950ffca416f8f9ad80096db5b780f6a13330a811d40ae94f,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-01-30,Public delivery rank; not a fixed-contract return
2019_02_06,2019-02-01,2019-02-06,2019-02-07T04:59:59+00:00,42.625,-0.9109596514569704,Normal,1.4410000000000025,0.36299999999999955,2019-02-05,-0.4399999999999977,54.0,54.44,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_02_06/csv/table9.csv,17701529afe5a031d13a2ea28bf5127092c1ca385032a1477dfe925228e37519,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-02-06,Public delivery rank; not a fixed-contract return
2019_02_13,2019-02-08,2019-02-13,2019-02-14T04:59:59+00:00,41.609,-0.8687263338037059,Normal,-1.0159999999999982,0.09000000000000341,2019-02-12,-0.5300000000000011,53.47,54.0,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_02_13/csv/table9.csv,7cd4153feb26dd40a1ad1c8d9489a6159c9e09cc1706ee5f957cd27c307ab940,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-02-13,Public delivery rank; not a fixed-contract return
2019_02_21,2019-02-15,2019-02-21,2019-02-22T04:59:59+00:00,45.022,-0.5791256204569001,Normal,3.4129999999999967,3.692999999999998,2019-02-20,-0.480000000000004,57.16,57.64,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_02_21/csv/table9.csv,b8e496708658cf642984df3f358523fc5c3220c9b33243f60e2a255dd1c2b10e,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-02-21,Public delivery rank; not a fixed-contract return
2019_02_27,2019-02-22,2019-02-27,2019-02-28T04:59:59+00:00,46.65,-0.4450847372922361,Normal,1.6280000000000001,5.466000000000001,2019-02-26,-0.5399999999999991,55.97,56.51,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_02_27/csv/table9.csv,a36b7eae0614abd6ab561cbf6dcfefb285b9bd4e9a71881d92342ff29731636b,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-02-27,Public delivery rank; not a fixed-contract return
2019_03_06,2019-03-01,2019-03-06,2019-03-07T04:59:59+00:00,47.523,-0.3805290234979383,Normal,0.8730000000000047,4.898000000000003,2019-03-05,-0.46000000000000085,56.94,57.4,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_03_06/csv/table9.csv,b3746df872f8b947d5a46ef8d14825d7cbbacffd704f2d3f46c972c82926e26f,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-03-06,Public delivery rank; not a fixed-contract return
2019_03_13,2019-03-08,2019-03-13,2019-03-14T03:59:59+00:00,46.851,-0.4240684508007296,Normal,-0.6720000000000041,5.241999999999997,2019-03-12,-0.4199999999999946,57.2,57.62,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_03_13/csv/table9.csv,8bfa6207c467038347e8eb100b848fa1ec209dfdd9b2b7e6b0c0980c7aeaafdd,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-03-13,Public delivery rank; not a fixed-contract return
2019_03_20,2019-03-15,2019-03-20,2019-03-21T03:59:59+00:00,46.383,-0.47119591928887633,Normal,-0.4679999999999964,1.3610000000000042,2019-03-19,-0.28999999999999915,59.29,59.58,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_03_20/csv/table9.csv,aa833ef5219d474befdc4f43fc4d4b18e7272ad80d0200f40cd390eb207db9cc,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-03-20,Public delivery rank; not a fixed-contract return
2019_03_27,2019-03-22,2019-03-27,2019-03-28T03:59:59+00:00,46.924,-0.46707817311817973,Normal,0.5409999999999968,0.2740000000000009,2019-03-26,-0.12999999999999545,60.1,60.23,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_03_27/csv/table9.csv,8e7c5cfb0c755e7e5a0951235e5ad916dd5f72f307ede3cf74a4178d81fb76ff,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-03-27,Public delivery rank; not a fixed-contract return
2019_04_03,2019-03-29,2019-04-03,2019-04-04T03:59:59+00:00,47.125,-0.4887502094234473,Normal,0.2010000000000005,-0.39800000000000324,2019-04-02,0.00999999999999801,62.61,62.6,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_04_03/csv/table9.csv,e104995457c2597218625bd98005755d72ec0576bac981eb41b7796fb2d758f4,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-04-03,Public delivery rank; not a fixed-contract return
2019_04_10,2019-04-05,2019-04-10,2019-04-11T03:59:59+00:00,45.992,-0.5945208414857289,Normal,-1.1330000000000027,-0.8590000000000018,2019-04-09,0.05000000000000426,63.96,63.91,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_04_10/csv/table9.csv,51aadfeab78dfa7378021363280726947321f395262003d4a68f2e00b8884781,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-04-10,Public delivery rank; not a fixed-contract return
2019_04_17,2019-04-12,2019-04-17,2019-04-18T03:59:59+00:00,44.449,-0.7353500059458579,Normal,-1.5429999999999993,-1.9340000000000046,2019-04-16,-0.07000000000000739,64.19,64.26,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_04_17/csv/table9.csv,ad96e6e00eca399bc119001da0303151859b2399ec7398c38fbe75f7ad73c412,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-04-17,Public delivery rank; not a fixed-contract return
2019_04_24,2019-04-19,2019-04-24,2019-04-25T03:59:59+00:00,44.912,-0.7507929321169184,Normal,0.46300000000000097,-2.0120000000000005,2019-04-23,0.1799999999999926,66.24,66.06,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_04_24/csv/table9.csv,35369a04c6146b1fec72670258193460c6b6d0a0cea1302b0e74fc40fd735491,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-04-24,Public delivery rank; not a fixed-contract return
2019_05_01,2019-04-26,2019-05-01,2019-05-02T03:59:59+00:00,45.177,-0.7619707978748975,Normal,0.26500000000000057,-1.9480000000000004,2019-04-30,0.00999999999999801,63.98,63.97,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_05_01/csv/table9.csv,4cb4450ca008c2659791ff54cabec5abdb2ae03392c2d0b25c5a15aa7ead3465,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-05-01,Public delivery rank; not a fixed-contract return
2019_05_08,2019-05-03,2019-05-08,2019-05-09T03:59:59+00:00,45.998,-0.7059089172493669,Normal,0.820999999999998,0.006000000000000227,2019-05-07,-0.030000000000001137,61.51,61.54,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_05_08/csv/table9.csv,c26d80996db5d289b6b0f82f351ebfcd56edeb7810d14cdd030ea1085bc24dc1,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-05-08,Public delivery rank; not a fixed-contract return
2019_05_15,2019-05-10,2019-05-15,2019-05-16T03:59:59+00:00,47.803,-0.5684443528834922,Normal,1.8049999999999997,3.353999999999999,2019-05-14,-0.11999999999999744,61.96,62.08,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_05_15/csv/table9.csv,fa819bc415b7faada4c49b0a571f56671ffdc618e7716fdc2a7483466091c829,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-05-15,Public delivery rank; not a fixed-contract return
2019_05_22,2019-05-17,2019-05-22,2019-05-23T03:59:59+00:00,49.069,-0.46950841220671163,Normal,1.2660000000000053,4.157000000000004,2019-05-21,-0.0799999999999983,63.13,63.21,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_05_22/csv/table9.csv,8e024c920cf7fb9f692943ee897a87c9dab64c5c13b360e0d232ad85c8118e42,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-05-22,Public delivery rank; not a fixed-contract return
2019_05_30,2019-05-24,2019-05-30,2019-05-31T03:59:59+00:00,49.053,-0.4426601155839604,Normal,-0.016000000000005343,3.8759999999999977,2019-05-29,-0.03999999999999915,58.95,58.99,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_05_30/csv/table9.csv,4328c6d9b9b3c907c3bbaa7e2d3bdf67161dcf5509ae801b1f16196281f26c80,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-05-30,Public delivery rank; not a fixed-contract return
2019_06_05,2019-05-31,2019-06-05,2019-06-06T03:59:59+00:00,50.844,-0.278234543301479,Normal,1.791000000000004,4.846000000000004,2019-06-04,-0.0799999999999983,53.63,53.71,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_06_05/csv/table9.csv,1268e60e5d8aa81853419268dae7210035e3647a5f46e43729d49422ff16aa3b,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-06-05,Public delivery rank; not a fixed-contract return
2019_06_12,2019-06-07,2019-06-12,2019-06-13T03:59:59+00:00,52.94,-0.08020118610422744,Normal,2.0959999999999965,5.1370000000000005,2019-06-11,-0.1599999999999966,53.52,53.68,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_06_12/csv/table9.csv,5bc0aad6f0a222445cf4246556c787edbba2a7c852974934561bb43e4bbf4f01,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-06-12,Public delivery rank; not a fixed-contract return
2019_06_19,2019-06-14,2019-06-19,2019-06-20T03:59:59+00:00,53.582,0.02881898069573643,Normal,0.642000000000003,4.512999999999998,2019-06-18,-0.0799999999999983,54.11,54.19,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_06_19/csv/table9.csv,d8ea9173416baaa9101b20a03faa211193aeb9c6aaf5c9c63ecdbecbb465f8d4,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-06-19,Public delivery rank; not a fixed-contract return
2019_06_26,2019-06-21,2019-06-26,2019-06-27T03:59:59+00:00,51.836,-0.021850783048685953,Normal,-1.7460000000000022,2.7830000000000013,2019-06-25,0.09000000000000341,57.89,57.8,https://www.eia.gov/petroleum/supply/weekly/archive/2019/2019_06_26/csv/table9.csv,c28848a17af89c36f2089eb2414d4ff092f6a74a1f96cbae13a49a7de2a73e99,1,https://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,release-2019-06-26,Public delivery rank; not a fixed-contract return
