year,n,start,end,partial_year,spearman,low_n,normal_n,high_n
2015,52,2015-01-07,2015-12-30,False,-0.1772616673378862,0,7,45
2016,52,2016-01-06,2016-12-29,False,-0.6126518735510145,0,0,52
2017,52,2017-01-05,2017-12-28,False,-0.6328757503711631,0,32,20
2018,52,2018-01-04,2018-12-28,False,-0.4790999639511548,50,2,0
2019,52,2019-01-04,2019-12-27,False,0.0793355994603976,8,44,0
2020,53,2020-01-03,2020-12-30,False,-0.2272406570656884,4,37,12
2021,52,2021-01-06,2021-12-29,False,-0.5931128875571977,11,30,11
2022,51,2022-01-05,2022-12-29,False,-0.7601809954751131,49,2,0
2023,51,2023-01-05,2023-12-28,False,-0.4226748241286976,9,42,0
2024,14,2024-01-04,2024-04-03,True,0.15418539605266712,2,12,0
