decision_date,week_ending,cushing_mbbl,inv_z,state,price_date,F2,F3,spread,price_identity,relationship,release_date,report_id,source_url,sha256,knowledge_cutoff,inv_reference_n,inv_reference_mean,inv_reference_std,year,period_index,season_sin,season_cos,fitted_D1,fitted_D2,adjusted_spread,fitted_D1_no_year_fe,fitted_D2_no_year_fe
2015-01-07,2015-01-02,32.098,-0.8458650312796481,Normal,2015-01-06,48.46,49.16,-0.6999999999999957,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-01-07,2015_01_07,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_01_07/csv/table9.csv,171a7c21677d993d5a4ccbfc939cb9cf863766907c812c6e9d99a4810c88c71d,2015-01-08T04:59:59+00:00,24,39.702125,8.989761627214063,2015,0,0.01716632975470737,0.9998526477050269,-0.622478087931963,-0.5820580089448073,-0.0376766116836873,-0.07865808306703878,0.2673981829312883
2015-01-14,2015-01-09,33.874,-0.7011761199820868,Normal,2015-01-13,46.51,47.24,-0.730000000000004,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-01-14,2015_01_14,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_01_14/csv/table9.csv,e080369a256f4064fb6091ae7370902b9bf517faf6b769eeea880a0321e5905b,2015-01-15T04:59:59+00:00,24,40.084624999999996,8.857439412167457,2015,1,0.13690605792347524,0.990584035457797,-0.6553306470767042,-0.6263492691907856,-0.05537731970196125,-0.11370782133222704,0.17090249602161417
2015-01-22,2015-01-16,36.783,-0.3993966477000173,Normal,2015-01-21,48.43,49.22,-0.7899999999999991,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-01-22,2015_01_22,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_01_22/csv/table9.csv,ddae7b4a238d9c408319b0fc5ac3bab884a2077d2c943345e5c4ba3a3c9e0787,2015-01-23T04:59:59+00:00,24,40.289375,8.779179845879929,2015,2,0.2546711202412287,0.9670277247913204,-0.7075042991716376,-0.7028186181871489,-0.10563401911847548,-0.17297919926851799,-0.017091167015373582
2015-01-28,2015-01-23,38.868,-0.16531681081358426,Normal,2015-01-27,46.95,47.95,-1.0,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-01-28,2015_01_28,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_01_28/csv/table9.csv,c71487069988ad8d8001ff74277b25bf66b29218796d037bf559ab220345b582,2015-01-29T04:59:59+00:00,24,40.31195833333333,8.734491829518621,2015,3,0.3687629311922601,0.9295234803804003,-0.7479863280672843,-0.7616224689477614,-0.30858724252348047,-0.21921991941200195,-0.16060359360455212
2015-02-04,2015-01-30,41.384,0.12747862715011682,Normal,2015-02-03,53.86,54.95,-1.0900000000000034,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-02-04,2015_02_04,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_02_04/csv/table9.csv,10c8a8779fafabb202f845ee529b8719e8ffa3fbec7ec9514f7d0190f32710b9,2015-02-05T04:59:59+00:00,24,40.271166666666666,8.729567914336569,2015,4,0.47753588643748823,0.8786122450571483,-0.7940097521877263,-0.8306106831153466,-0.3943386291673677,-0.2731934688535003,-0.3360315753395053
2015-02-11,2015-02-06,42.598,0.272240042564851,Normal,2015-02-10,50.93,52.16,-1.2299999999999969,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-02-11,2015_02_11,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_02_11/csv/table9.csv,5a5c832f228893d14270189047f70dcc49e0e1eb62de32e3c0999720bf8350de,2015-02-12T04:59:59+00:00,24,40.23945833333334,8.663463480412974,2015,5,0.5794210982045637,0.8150283375168114,-0.8171092648921436,-0.8640078528676545,-0.5329494589659718,-0.3006813255592353,-0.4184054100976806
2015-02-19,2015-02-13,46.261,0.7281009489184441,Normal,2015-02-18,52.82,53.97,-1.1499999999999986,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-02-19,2015_02_19,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_02_19/csv/table9.csv,28b6d05acf755e12c35a2ccd8b080631359aea5ffce422f76f34db82a7077e78,2015-02-20T04:59:59+00:00,24,40.147708333333334,8.396214392726234,2015,6,0.6729490241558329,0.7396888608649668,-0.8802651037772176,-0.9633123278095052,-0.4544397686291508,-0.37744131452958923,-0.6853730428300466
2015-02-25,2015-02-20,48.68,1.0615995355630137,High,2015-02-24,50.83,52.34,-1.5100000000000051,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-02-25,2015_02_25,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_02_25/csv/table9.csv,4a40e79b90690ebd2e25e9e366d7e357a59a9ae4b806bc6c4a5b452e4f935572,2015-02-26T04:59:59+00:00,24,39.969458333333336,8.205110660722996,2015,7,0.7567706633464626,0.653680474772006,-0.923966176956227,-1.021577726380891,-0.8187880626610556,-0.4318811574542327,-0.8439955197864866
2015-03-04,2015-02-27,49.216,1.1642222660522972,High,2015-03-03,52.5,54.07,-1.5700000000000003,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-03-04,2015_03_04,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_03_04/csv/table9.csv,c8a9d423b2898ade9966ec84b175c26417617845ad8b65f8eea3fd43e32e146d,2015-03-05T04:59:59+00:00,24,39.71454166666667,8.161206507028378,2015,8,0.8296770135526188,0.5582437220268648,-0.9333464608726986,-1.0185898568926244,-0.8859316234006319,-0.4460927325186467,-0.8392011012671265
2015-03-11,2015-03-06,51.538,1.465350694655879,High,2015-03-10,50.07,51.44,-1.3699999999999974,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only,2015-03-11,2015_03_11,https://www.eia.gov/petroleum/supply/weekly/archive/2015/2015_03_11/csv/table9.csv,3386db97b6b4454bae6248619d28a800eee2eb4dab96fcb8442e9ff732079068,2015-03-12T03:59:59+00:00,24,39.489625000000004,8.222178515996417,2015,9,0.8982917515547528,0.4393995096591417,-0.9661750611762199,-1.0193311272743597,-0.6973845011408892,-0.4901615517591066,-0.8486981431602358
