decision_date,week_ending,cushing_mbbl,inv_z,state,price_date,F2,F3,spread,price_identity,relationship
2015-01-07,2015-01-02,32.098,-0.8458650312796481,Normal,2015-01-06,48.46,49.16,-0.6999999999999957,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-01-14,2015-01-09,33.874,-0.7011761199820868,Normal,2015-01-13,46.51,47.24,-0.730000000000004,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-01-22,2015-01-16,36.783,-0.3993966477000173,Normal,2015-01-21,48.43,49.22,-0.7899999999999991,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-01-28,2015-01-23,38.868,-0.16531681081358426,Normal,2015-01-27,46.95,47.95,-1.0,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-02-04,2015-01-30,41.384,0.12747862715011682,Normal,2015-02-03,53.86,54.95,-1.0900000000000034,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-02-11,2015-02-06,42.598,0.272240042564851,Normal,2015-02-10,50.93,52.16,-1.2299999999999969,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-02-19,2015-02-13,46.261,0.7281009489184441,Normal,2015-02-18,52.82,53.97,-1.1499999999999986,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-02-25,2015-02-20,48.68,1.0615995355630137,High,2015-02-24,50.83,52.34,-1.5100000000000051,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-03-04,2015-02-27,49.216,1.1642222660522972,High,2015-03-03,52.5,54.07,-1.5700000000000003,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-03-11,2015-03-06,51.538,1.465350694655879,High,2015-03-10,50.07,51.44,-1.3699999999999974,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-03-18,2015-03-13,54.403,1.775820019451975,High,2015-03-17,45.19,47.06,-1.8700000000000045,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-03-25,2015-03-20,56.314,1.9372674110185852,High,2015-03-24,49.13,50.46,-1.3299999999999983,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-04-01,2015-03-27,58.943,2.1521580201607975,High,2015-03-31,49.34,50.78,-1.4399999999999977,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-04-08,2015-04-03,60.175,2.221885402783906,High,2015-04-07,55.23,56.09,-0.8600000000000065,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
2015-04-15,2015-04-10,61.462,2.266730637709546,High,2015-04-14,54.87,56.04,-1.1700000000000017,EIA daily delivery rank; actual contract identities unavailable,inventory published after the matched quote; descriptive association only
